survived,deck,embarked,pclass,embark_town,sex,adult_male,who,wspd,lfwa,class,tprc,sibsp,age,alone,fare,parch
1,C,C,1.0,Cherbourg,female,False,woman,38.0,76.0,First,215.8499,1.0,38.0,False,71.2833,0.0
0,E,S,1.0,Southampton,male,True,man,54.0,108.0,First,157.58749999999998,0.0,54.0,True,51.8625,0.0
1,G,S,3.0,Southampton,female,False,child,4.0,8.0,Third,52.099999999999994,1.0,4.0,False,16.7,1.0
1,D,S,2.0,Southampton,male,True,man,34.0,68.0,Second,41.0,0.0,34.0,True,13.0,0.0
1,A,S,1.0,Southampton,male,True,man,28.0,56.0,First,108.5,0.0,28.0,True,35.5,0.0
1,D,C,1.0,Cherbourg,female,False,woman,49.0,98.0,First,232.18760000000003,1.0,49.0,False,76.7292,0.0
0,C,S,1.0,Southampton,male,True,man,55.0,90.0,First,252.425,1.0,45.0,False,83.475,0.0
1,F,S,2.0,Southampton,female,False,woman,29.0,58.0,Second,33.5,0.0,29.0,True,10.5,0.0
0,F,S,3.0,Southampton,male,True,man,25.0,50.0,Third,24.950000000000003,0.0,25.0,True,7.65,0.0
0,A,C,1.0,Cherbourg,male,True,man,71.0,142.0,First,105.9626,0.0,71.0,True,34.6542,0.0
1,D,C,1.0,Cherbourg,male,True,man,23.0,46.0,First,192.0749,0.0,23.0,False,63.3583,1.0
0,D,S,1.0,Southampton,male,True,man,21.0,42.0,First,233.8625,0.0,21.0,False,77.2875,1.0
1,E,S,2.0,Southampton,female,False,woman,42.5,65.0,Second,41.0,0.0,32.5,True,13.0,0.0
0,D,S,1.0,Southampton,male,True,man,54.0,108.0,First,233.8625,0.0,54.0,False,77.2875,1.0
1,D,S,1.0,Southampton,female,False,woman,219.0,38.0,First,80.8499,0.0,19.0,False,26.2833,2.0
0,C,S,1.0,Southampton,male,True,man,37.0,74.0,First,161.3,1.0,37.0,False,53.1,0.0
0,B,C,1.0,Cherbourg,male,True,man,34.0,48.0,First,239.6,0.0,24.0,True,79.2,0.0
0,F,S,2.0,Southampton,male,True,man,36.5,73.0,Second,80.0,0.0,30.28931242460796,False,26.0,2.0
1,C,S,1.0,Southampton,female,False,woman,32.0,44.0,First,201.8,1.0,22.0,False,66.6,0.0
0,B,S,1.0,Southampton,male,True,man,61.0,122.0,First,102.5,0.0,61.0,True,33.5,0.0
1,F,S,2.0,Southampton,male,False,child,3.0,6.0,Second,80.0,1.0,30.28931242460796,False,26.0,1.0
1,B,C,1.0,Cherbourg,female,False,woman,68.0,116.0,First,441.5624,0.0,58.0,True,146.5208,0.0
